Name,Match
Angus King,95.49
"Baldwin, Tammy",94.66
"Barrasso, John",36.04
"Bennet, Michael",96.31
"Blackburn, Marsha",68.92
"Blumenthal, Richard",87.84
"Blunt, Roy",31.44
"Booker, Cory",94.24
"Boozman, John",18.5
"Braun, Mike",34.53
"Brown, Sherrod",91.26
"Cantwell, Maria",78.02
"Cardin, Benjamin",85.63
"Carper, Tom",95.52
"Casey, Bob Jr.",94.31
"Cassidy, Bill",36.6
"Collins, Susan",7.89
"Coons, Chris",91.9
"Cornyn, John",56.34
"Cortez Mastro, Catherine",94.85
"Cotton, Tom",48.24
"Cramer, Kevin",25.76
"Crapo, Mike",26.91
"Cruz, Ted",61.63
"Daines, Steve",32.06
"Durbin, Richard",93.22
"Feinstein, Dianne",93.44
"Fischer, Deb",24.29
"Gillibrand, Kirsten",93.94
"Graham, Lindsey",40.34
"Grassley, Chuck",28.66
"Hagerty, Bill",51.03
"Hassan, Maggie",91.73
"Hawley, Josh",58.82
"Heinrich, Martin",91.84
"Hickenlooper, John",87.18
"Hirono, Mazie",92.59
"Hoeven, John",15.36
"Hyde-Smith, Cindy",28.51
"Inhofe, Jim",27.09
"Johnson, Ron",47.95
Joni Ernst,26.75
"Kaine, Tim",85.76
"Kelly, Mark",95.98
"Kennedy, John",37.82
"Klobuchar, Amy",88.03
"Lankford, James",49.67
"Leahy, Patrick",82.74
"Lee, Mike",33.33
"Luján, Ben Ray",92.85
"Lummis, Cynthia",29.03
"Manchin, Joe",92.07
"Markey, Edward",92.36
"Marshall, Roger",37.11
"McConnell, Mitch",23.29
"Menendez, Robert",90.83
"Merkley, Jeff",92.75
"Moore Capito, Shelley",22.47
"Moran, Jerry",18.65
"Murkowski, Lisa",8.72
"Murphy, Chris",68.97
"Murray, Patty",98.05
"Ossoff, Jon",81.42
"Padilla, Alex",98.44
"Paul, Rand",45.25
"Peters, Gary",92.88
"Portman, Rob",24.85
"Reed, Jack",91.33
"Risch, Jim",31.28
"Romney, Mitt",16.36
"Rosen, Jacky",94.23
"Rounds, Mike",24.79
"Rubio, Marco",56.44
"Sanders, Bernie",92.22
"Sasse, Ben",33.33
"Schatz, Brian",94.91
"Schumer, Chuck",92.76
"Scott, Rick",36.88
"Scott, Tim",32.98
"Shaheen, Jeanne",94.28
"Shelby, Richard",17.19
"Sinema, Kyrsten",90.56
"Smith, Tina",90.94
"Stabenow, Debbie",89.41
"Sullivan, Dan",26.03
Tammy Duckwort,95.1
"Tester, Jon",96.08
"Thune, John",31.1
"Tillis, Thom",23.06
"Toomey, Patrick",34.87
"Tuberville, Tommy",36.4
"Van Hollen, Chris",95.43
"Warner, Mark",91.8
"Warnock, Raphael",90.65
"Warren, Elizabeth",91.73
"Whitehouse, Sheldon",69.39
"Wicker, Roger",28.42
"Wyden, Ron",95.62
"Young, Todd",21.16
